name,rating,price_level,distance_km,total_reviews
Kennedyburgh Ramirez Lounge,4.0,2,10.56,113
New Sara Bradley Lounge,4.4,2,9.01,47
Port Nancy Shields Bakery,4.1,1,8.67,48
New Mario Reyes Bakery,4.0,2,10.74,39
North Lisa Wagner Diner,3.4,3,12.68,9
Deborahside Boyle Eatery,3.9,2,7.46,140
Lake Marcus Oneal Tapas,4.5,2,11.69,25
South Gina Brown Bakery,3.6,3,1.96,138
Port Jenna Harris Café,4.2,2,8.47,61
New Matthew Santos Bistro,4.4,3,6.99,39
Randallmouth Barber Diner,3.6,1,7.38,80
Lake Leonard James Grill,4.5,1,10.63,136
New Rose Mason Kitchen,4.5,2,10.27,20
Cameronhaven Morales Tapas,4.4,1,8.85,17
Haleyfurt Huynh Eatery,4.6,2,10.78,65
Tammytown Ramos Eatery,4.6,0,12.44,41
South Amyberg Weaver Café,4.7,1,10.07,21
Andrewsport Santos Tapas,4.2,1,1.19,5
West Kevinborough Williams House,4.6,0,6.28,16
West Daniel Smith Tapas,4.3,1,10.76,42
South James Dawson House,4.3,2,9.65,33
Port Jerome Cochran Diner,4.3,3,10.15,5
East Victoriafort Roberts Bistro,4.0,2,9.0,45
Houstonburgh Riley Tapas,4.6,2,6.28,119
North Thomasbury Davis Bistro,4.3,2,10.66,159
Troymouth Patton Bar,4.6,3,6.74,7
Bradyport Lin Diner,4.3,2,5.23,14
Jonesport Williams Eatery,4.1,3,11.49,100
Abigailland Gibson Grill,4.4,2,7.26,81
West Angela Young Kitchen,4.4,1,10.66,5
South Mitchellville Malone Lounge,4.1,1,9.21,93
New Veronica Taylor Bakery,3.8,1,5.38,37
West Kevin Pearson Café,4.7,2,10.96,27
Kimberlystad Barnett Grill,4.4,2,3.98,7
West Cassandraport Green Diner,3.8,1,5.21,25
Lake Luisside Castillo Tapas,4.4,1,5.68,14
New Jeffery Keith Diner,4.1,4,8.15,41
Englishtown Martinez Eatery,4.0,1,5.57,49
East Thomas Rivas Bistro,4.8,3,10.15,5
Michaelmouth Miller House,4.9,1,3.89,15
Michaelton Washington Bistro,3.8,2,7.52,28
South Shannonmouth Stuart Grill,4.8,4,2.41,20
North William Mcmahon Tapas,4.3,3,6.85,29
New Markton White Diner,3.6,2,6.25,43
Victoriaton Bentley Kitchen,4.2,3,4.88,34
North Nicole Jones Bakery,4.7,1,3.09,38
Bryantborough Maynard Eatery,3.8,2,14.23,21
South Michaelmouth Chandler Lounge,4.3,2,6.54,51
Dianefort Schaefer Bakery,3.8,2,11.66,52
Lake Shelbyview Davidson Diner,3.3,3,12.2,16
Seanport Nash House,4.6,1,3.13,10
Mariaburgh Williams Bar,4.7,0,10.18,23
New Linda Taylor Tapas,4.1,1,4.01,63
Brittanyside Wilson Café,4.5,1,10.27,256
Port Jessicafort Peterson Bakery,3.8,2,7.62,27
Laurastad Price Bakery,4.2,2,4.71,73
New Travis Rodriguez Bar,3.9,1,8.09,187
New Christine Pham Bakery,4.5,1,6.82,21
Port Antoniostad Williams Café,3.9,1,8.05,100
Johnsonland Flores Grill,3.8,0,10.14,17
Lake Tracy Wolf Bar,3.4,2,4.34,11
Schmidttown Sparks House,5.0,1,5.46,14
Josephville Jordan Bistro,4.2,1,8.57,97
New Elizabethberg Jenkins Café,4.7,3,8.86,37
Taylorview Montoya Lounge,4.4,3,8.65,53
Michaelshire Bell Bistro,4.3,1,9.06,26
West Gloriaport Garcia Bar,4.7,0,13.04,291
Andreaview Walters Bistro,4.7,3,12.61,130
North Nathanburgh Moore Café,3.6,2,8.14,12
Brownton Black Café,4.5,2,10.09,8
New Jonathanstad Lewis Café,4.8,2,1.67,7
North Jamesville Patel Eatery,4.7,1,7.09,118
Christopherhaven Macias Lounge,4.3,2,8.99,20
Lake Jasminetown Schroeder Bistro,4.1,1,13.24,129
East Mistyfurt Fitzgerald Bakery,4.6,3,5.3,110
Curtischester Rojas Grill,4.5,1,11.08,11
Port Ericshire Valdez House,4.0,2,7.36,50
North Eric Coffey Lounge,4.1,2,7.11,52
East Dianeview Rodriguez Tapas,4.4,2,7.18,25
Olsonfurt Smith Bakery,4.4,3,5.17,679
West Kevinfurt Hoffman Café,3.9,1,11.69,5
South Jessicaton Flores Bakery,4.6,1,2.45,11
East Oliviabury Perez Bistro,4.9,1,11.07,15
Lake Christie Morris Bistro,4.6,3,12.13,5
Tinamouth Stokes Grill,3.9,1,5.91,8
Tracyville Liu Eatery,4.6,2,13.93,31
